simTime,platformIndex,x,y,z,vx,vy,vz,damage
0.0,1,-1308252.9612795042,-6948842.502128495,-6.214821405592375e-05,3935.986083984375,-741.02490234375,5999.244140625,0.0
0.0,2,1310872.0863119187,6962754.098732212,4.1758190491236746e-05,-3926.094970703125,739.162841796875,-5987.25732421875,0.0
0.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
10.0,1,-1268825.100571466,-6955891.565698123,59992.439109537096,3949.586181640625,-668.7877807617188,5999.244140625,0.0
10.0,2,1271543.4171519685,6969786.037112415,-59872.57411659593,-3939.638671875,667.2247924804688,-5987.25732421875,0.0
10.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
10.0,1,-1268825.661423793,-6955891.4645382445,59991.311993517214,3949.417724609375,-668.7575073242188,5998.90576171875,0.0
10.0,2,1271543.9723126742,6969785.9362994945,-59871.45601358068,-3939.471923828125,667.1947631835938,-5986.921875,0.0
20.0,1,-1229265.1699559873,-6962217.5567045845,119976.98722154465,3962.6806640625,-596.4609375,5998.2294921875,0.0
20.0,2,1232083.202022429,6976097.899106971,-119737.32012169887,-3952.68212890625,595.1978149414062,-5986.2509765625,0.0
20.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
20.0,1,-1229265.7329632733,-6962217.467182118,119975.86020179062,3962.511474609375,-596.434326171875,5997.89111328125,0.0
20.0,2,1232083.759443395,6976097.810356649,-119736.20208182195,-3952.5146484375,595.1714477539062,-5985.91552734375,0.0
30.0,1,-1189575.9951168417,-6967820.068321357,179948.0082798881,3975.43603515625,-524.0858764648438,5996.53857421875,0.0
30.0,2,1192494.2389558232,6981689.2829166865,-179588.6468036637,-3965.389404296875,523.123046875,-5984.57373046875,0.0
30.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
30.0,1,-1189576.5604421904,-6967819.991544377,179946.88148445354,3975.266357421875,-524.0631713867188,5996.2001953125,0.0
30.0,2,1192494.7986576594,6981689.206693854,-179587.5289811436,-3965.221435546875,523.1004638671875,-5984.23828125,0.0
40.0,1,-1149760.9746503124,-6972698.6596412,239898.7407452302,3987.850830078125,-451.67047119140625,5994.17138671875,0.0
40.0,2,1152779.8926168939,6986559.7499890495,-239419.84647108172,-3977.759765625,451.0081787109375,-5982.2255859375,0.0
40.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
40.0,1,-1149761.542248024,-6972698.59561484,239897.6143023715,3987.680419921875,-451.65155029296875,5993.83349609375,0.0
40.0,2,1152780.454556334,6986559.686299205,-239418.72898998446,-3977.591064453125,450.9893493652344,-5981.89013671875,0.0
50.0,1,-1109823.5205133797,-6976852.965191015,299822.4253865351,3999.923828125,-379.22235107421875,5991.12890625,0.0
50.0,2,1112943.5409708412,6990708.936544761,-299224.2136378263,-3989.791748046875,378.8606872558594,-5979.20703125,0.0
50.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
50.0,1,-1109824.0903375354,-6976852.913918794,299821.29942436056,3999.752685546875,-379.207275390625,5990.791015625,0.0
50.0,2,1112944.105104228,6990708.885391839,-299223.0966223088,-3989.622314453125,378.84564208984375,-5978.87158203125,0.0
60.0,1,-1069767.0579563046,-6980282.696053902,359712.30604962626,4011.65380859375,-306.7491455078125,5987.41064453125,0.0
60.0,2,1072988.575084315,6994136.554056754,-358995.0457980801,-4001.48388671875,306.6881103515625,-5975.51806640625,0.0
60.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
60.0,1,-1069767.629960829,-6980282.657538585,359711.1806962298,4011.48193359375,-306.7379150390625,5987.07275390625,0.0
60.0,2,1072989.1413677486,6994136.515443025,-358993.92937217245,-4001.313720703125,306.67681884765625,-5975.18310546875,0.0
70.0,1,-1029595.0252455552,-6982987.6398845315,419561.63042594126,4023.0390625,-234.25856018066406,5983.01708984375,0.0
70.0,2,1032918.3988614845,6996842.389262335,-418725.6441705272,-4012.834716796875,234.49795532226562,-5971.15966796875,0.0
70.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
70.0,1,-1029595.5993839998,-6982987.614126812,419560.5058093393,4022.86669921875,-234.2511444091797,5982.6796875,0.0
70.0,2,1032918.9672509017,6996842.363189464,-418724.52845828165,-4012.6640625,234.4904327392578,-5970.8251953125,0.0
80.0,1,-989310.8733845247,-6984967.660911148,479363.65082052443,4034.07861328125,-161.7582244873047,5977.94921875,0.0
80.0,2,992736.4287790662,6998826.30417129,-478409.3144426253,-4023.843505859375,162.2977752685547,-5966.13232421875,0.0
80.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
80.0,1,-989311.4496103679,-6984967.64791115,479362.5270686379,4033.905517578125,-161.75462341308594,5977.6123046875,0.0
80.0,2,992736.9992300874,6998826.290638769,-478408.19956791087,-4023.67236328125,162.29400634765625,-5965.7978515625,0.0
90.0,1,-948918.0658337385,-6986222.699934674,539111.62491964,4044.771240234375,-89.25578308105469,5972.20751953125,0.0
90.0,2,952446.0936193105,7000088.236060835,-538039.367513927,-4034.5087890625,90.09507751464844,-5960.43603515625,0.0
90.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
90.0,1,-948918.6441001291,-6986222.699690791,539110.5021603093,4044.597412109375,-89.25601196289062,5971.87060546875,0.0
90.0,2,952446.6660873229,7000088.235067138,-538038.2536005928,-4034.3369140625,90.09507751464844,-5960.1015625,0.0
100.0,1,-908420.0782288766,-6986752.774315582,598798.8165577421,4055.11572265625,-16.7589111328125,5965.79248046875,0.0
100.0,2,912050.8342020352,7000628.197466485,-597609.1202392402,-4044.829345703125,17.897401809692383,-5954.07177734375,0.0
100.0,3,-2178640.0272942116,4388841.875609043,4069473.675500143,,,,0.0
100.0,1,-908420.6584888559,-6986752.786824468,598797.694918664,4054.94140625,-16.762968063354492,5965.45556640625,0.0
